StationID,WQS_ID,Buffer Distance,Comments
9-TNC000.53,RL_09_033105,Manual Review | NA,Manual Accept | 
9-LTL001.22,RL_09_032405,Manual Review | NA,Manual Accept | 
9-LRR012.30,RL_09_042268,Manual Review | NA,Manual Accept | 
9-BPB003.17,RL_09_033359,Manual Review | NA,Manual Accept | 
9-BPB001.51,RL_09_033239,Manual Review | NA,Manual Accept | 
9-BST072.65,RL_09_032749,Manual Review | NA,Manual Accept | 
9-WVC000.05,RL_09_032714,Manual Review | NA,Manual Accept | 
9-BST070.29,RL_09_032671,Manual Review | NA,Manual Accept | 
9-BPB000.44,RL_09_032755,Manual Review | NA,Manual Accept | 
9-WHI000.03,RL_09_032754,Manual Review | NA,Manual Accept | 
9-BPB000.02,RL_09_032740,Manual Review | NA,Manual Accept | 
9-BST069.07,RL_09_042282,Manual Review | NA,Manual Accept | 
9-BST069.12,RL_09_042282,Manual Review | NA,Manual Accept | 
9-BST069.21,RL_09_042282,Manual Review | NA,Manual Accept | 
9-BST069.46,RL_09_042282,Manual Review | NA,Manual Accept | 
9-MFK000.11,RL_09_042275,Manual Review | NA,Manual Accept | 
9-BST066.80,RL_09_042374,Manual Review | NA,Manual Accept | 
9-BST066.94,RL_09_042374,Manual Review | NA,Manual Accept | 
9-BFK000.02,RL_09_042386,Manual Review | NA,Manual Accept | 
9-BST065.01,RL_09_042373,Manual Review | NA,Manual Accept | 
