FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_DIGESTION_DATE,FSS_PCB_204_REC,FSS_WATER_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,PCB204Recov,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_PEAKHRI,TSR_HRIID
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.218999996781349,,50-29-3,,HALE,,,,0.218999996781349,0.282836109399796,,,0.218999996781349,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.218999996781349,50-29-3,50-29-3,HALE,1998-03-18T00:00:00Z,0.218999996781349,0.282836109399796,,,0.218999996781349,,3250
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.171000003814697,,N/A,,HALE,,,,0.171000003814697,0.220844626426697,,,0.171000003814697,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.171000003814697,PCB138+158,N/A,HALE,1998-03-18T00:00:00Z,0.171000003814697,0.220844626426697,,,0.171000003814697,,3257
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.291999995708466,,,,HALE,,,,0.291999995708466,0.377114802598953,,,0.291999995708466,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.291999995708466,2051-24-3,,HALE,1998-03-18T00:00:00Z,0.291999995708466,0.377114802598953,,,0.291999995708466,,4000
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.412000000476837,,3268-87-9,,HALE,,,,0.412000000476837,0.532093524932861,,,0.412000000476837,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.412000000476837,3268-87-9,3268-87-9,HALE,1998-03-18T00:00:00Z,0.412000000476837,0.532093524932861,,,0.412000000476837,,4343
V97S003,1997-09-18T00:00:00Z,4ASRE007.09,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.31302116394043,,1998-03-18T00:00:00Z,1,0.277999997138977,,,,HALE,,,,0.277999997138977,0.377871423959732,,,0.277999997138977,,,1997-09-18T00:00:00Z,4ASRE007.09,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S003,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.31302116394043,1998-03-18T00:00:00Z,1,0,0.277999997138977,2051-24-3,,HALE,1998-03-18T00:00:00Z,0.277999997138977,0.377871423959732,,,0.277999997138977,,4000
V97S004,1997-07-15T00:00:00Z,4ADAN009.53,,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,0.288061866760254,,1998-01-12T00:00:00Z,1,0.351000010967255,,72-55-9,,HALE,,,,0.351000010967255,0.377338200807571,,,0.351000010967255,,,1997-07-15T00:00:00Z,4ADAN009.53,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,S,R,1,V97S004,1997-07-17T00:00:00Z,1997-09-13T00:00:00Z,0,0.288061866760254,1998-01-12T00:00:00Z,1,0,0.351000010967255,72-55-9,72-55-9,HALE,1998-01-12T00:00:00Z,0.351000010967255,0.377338200807571,,,0.351000010967255,,2967
V97S004,1997-07-15T00:00:00Z,4ADAN009.53,,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,0.288061866760254,,1998-01-12T00:00:00Z,1,0.505999982357025,,50-29-3,,HALE,,,,0.505999982357025,0.543969035148621,,,0.505999982357025,,,1997-07-15T00:00:00Z,4ADAN009.53,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,S,R,1,V97S004,1997-07-17T00:00:00Z,1997-09-13T00:00:00Z,0,0.288061866760254,1998-01-12T00:00:00Z,1,0,0.505999982357025,50-29-3,50-29-3,HALE,1998-01-12T00:00:00Z,0.505999982357025,0.543969035148621,,,0.505999982357025,,3242
V97S004,1997-07-15T00:00:00Z,4ADAN009.53,,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,0.288061866760254,,1998-01-12T00:00:00Z,1,0.948000013828278,,3268-87-9,,HALE,,,,0.948000013828278,1.01913571357727,,,0.948000013828278,,,1997-07-15T00:00:00Z,4ADAN009.53,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,S,R,1,V97S004,1997-07-17T00:00:00Z,1997-09-13T00:00:00Z,0,0.288061866760254,1998-01-12T00:00:00Z,1,0,0.948000013828278,3268-87-9,3268-87-9,HALE,1998-01-12T00:00:00Z,0.948000013828278,1.01913571357727,,,0.948000013828278,,4337
V97S005,1997-07-15T00:00:00Z,4ADAN025.29,,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,0.237004718780518,,1998-01-12T00:00:00Z,1,0.275999993085861,,72-55-9,,HALE,,,,0.275999993085861,0.372369140386581,,,0.275999993085861,,,1997-07-15T00:00:00Z,4ADAN025.29,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,S,R,1,V97S005,1997-07-17T00:00:00Z,1997-09-13T00:00:00Z,0,0.237004718780518,1998-01-12T00:00:00Z,1,0,0.275999993085861,72-55-9,72-55-9,HALE,1998-01-12T00:00:00Z,0.275999993085861,0.372369140386581,,,0.275999993085861,,2972
V97S005,1997-07-15T00:00:00Z,4ADAN025.29,,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,0.237004718780518,,1998-01-12T00:00:00Z,1,0.177000001072884,,75-54-8,,HALE,,,,0.177000001072884,0.238801941275597,,,0.177000001072884,,,1997-07-15T00:00:00Z,4ADAN025.29,1997-07-16T00:00:00Z,1997-07-17T00:00:00Z,S,R,1,V97S005,1997-07-17T00:00:00Z,1997-09-13T00:00:00Z,0,0.237004718780518,1998-01-12T00:00:00Z,1,0,0.177000001072884,75-54-8,75-54-8,HALE,1998-01-12T00:00:00Z,0.177000001072884,0.238801941275597,,,0.177000001072884,,3117
