FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_DIGESTION_DATE,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_UNCORR_DRY
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,17.76336,,7440-02-0,,RICE,,,,17.76336,,,,17.76336,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,17.76336,7440-02-0,7440-02-0,RICE,2002-11-21T00:00:00Z,17.76336,17.76336
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,15.46186,,7439-92-1,,RICE,,,,15.46186,,,,15.46186,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,15.46186,7439-92-1,7439-92-1,RICE,2002-11-21T00:00:00Z,15.46186,15.46186
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,0.5,,7440-36-0,,RICE,,,,0.5,,,,0.5,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,0.5,7440-36-0,7440-36-0,RICE,2002-11-21T00:00:00Z,0.5,0.5
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,0.5,,7782-49-2,,RICE,,,,0.5,,,,0.5,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,0.5,7782-49-2,7782-49-2,RICE,2002-11-21T00:00:00Z,0.5,0.5
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,0.3,,7440-28-0,,RICE,,,,0.3,,,,0.3,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,0.3,7440-28-0,7440-28-0,RICE,2002-11-21T00:00:00Z,0.3,0.3
V2TM002,2002-05-22T00:00:00Z,4ABAN008.30,,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2002-11-21T00:00:00Z,1,19.87655,,7440-66-6,,RICE,,,,19.87655,,,,19.87655,,,2002-05-22T00:00:00Z,4ABAN008.30,2002-05-23T00:00:00Z,2002-05-24T00:00:00Z,R,1,V2TM002,2002-07-21T00:00:00Z,2002-11-21T00:00:00Z,1,19.87655,7440-66-6,7440-66-6,RICE,2002-11-21T00:00:00Z,19.87655,19.87655
V2TM003,2002-09-17T00:00:00Z,4ABWR010.92,,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-03-19T00:00:00Z,1,2.262586,,7429-90-5,,RICE,,,,2.262586,,,,2.262586,,,2002-09-17T00:00:00Z,4ABWR010.92,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,R,1,V2TM003,2002-11-16T00:00:00Z,2003-03-19T00:00:00Z,1,2.262586,7429-90-5,7429-90-5,RICE,2003-03-19T00:00:00Z,2.262586,2.262586
V2TM003,2002-09-17T00:00:00Z,4ABWR010.92,,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-03-19T00:00:00Z,1,0.977295,,7440-22-4,,RICE,,,,0.977295,,,,0.977295,,,2002-09-17T00:00:00Z,4ABWR010.92,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,R,1,V2TM003,2002-11-16T00:00:00Z,2003-03-19T00:00:00Z,1,0.977295,7440-22-4,7440-22-4,RICE,2003-03-19T00:00:00Z,0.977295,0.977295
V2TM003,2002-09-17T00:00:00Z,4ABWR010.92,,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-03-19T00:00:00Z,1,46.04146,,7440-38-2,,RICE,,,,46.04146,,,,46.04146,,,2002-09-17T00:00:00Z,4ABWR010.92,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,R,1,V2TM003,2002-11-16T00:00:00Z,2003-03-19T00:00:00Z,1,46.04146,7440-38-2,7440-38-2,RICE,2003-03-19T00:00:00Z,46.04146,46.04146
V2TM003,2002-09-17T00:00:00Z,4ABWR010.92,,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-03-19T00:00:00Z,1,0.197433,,7440-43-9,,RICE,,,,0.197433,,,,0.197433,,,2002-09-17T00:00:00Z,4ABWR010.92,2002-09-18T00:00:00Z,2002-09-19T00:00:00Z,R,1,V2TM003,2002-11-16T00:00:00Z,2003-03-19T00:00:00Z,1,0.197433,7440-43-9,7440-43-9,RICE,2003-03-19T00:00:00Z,0.197433,0.197433
