FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_DIGESTION_DATE,FSS_WATER_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,7.397,,,,HALE,,,,7.397,9.3272960924,,4.17862844467163,7.397,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,7.397,120-12-7,,HALE,,7.397,9.3272960924,,4.17862844467163,7.397
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,2.641,,832-69-9,,HALE,,,,2.641,3.3301864242,,1.49192357063293,2.641,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,2.641,832-69-9,832-69-9,HALE,,2.641,3.3301864242,,1.49192357063293,2.641
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,56.754,,206-44-0,,HALE,,,,56.754,71.564331814,,32.0608215332031,56.754,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,56.754,206-44-0,206-44-0,HALE,,56.754,71.564331814,,32.0608215332031,56.754
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,41.172,,129-00-0,,HALE,,,,41.172,51.916105815,,23.258415222168,41.172,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,41.172,129-00-0,129-00-0,HALE,,41.172,51.916105815,,23.258415222168,41.172
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,30.12,,56-55-3,,HALE,,,,30.12,37.980013289,,17.0150451660156,30.12,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,30.12,56-55-3,56-55-3,HALE,,30.12,37.980013289,,17.0150451660156,30.12
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,21.652,,218-01-9,,HALE,,,,21.652,27.302232661,,12.2314004898071,21.652,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,21.652,218-01-9,218-01-9,HALE,,21.652,27.302232661,,12.2314004898071,21.652
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,45.24,,205-99-2,,HALE,,,,45.24,57.045677331,,25.5564632415772,45.24,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,45.24,205-99-2,205-99-2,HALE,,45.24,57.045677331,,25.5564632415772,45.24
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,36.231,,207-08-9,,HALE,,,,36.231,45.685719173,,20.4672031402588,36.231,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,36.231,207-08-9,207-08-9,HALE,,36.231,45.685719173,,20.4672031402588,36.231
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,30.056,,192-97-2,,HALE,,,,30.056,37.899312066,,16.9788913726807,30.056,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,30.056,192-97-2,192-97-2,HALE,,30.056,37.899312066,,16.9788913726807,30.056
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,6.12,,50-32-8,,HALE,,,,6.12,7.7170544931,,3.45724034309387,6.12,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,6.12,50-32-8,50-32-8,HALE,,6.12,7.7170544931,,3.45724034309387,6.12
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,103.336,,198-55-0,,HALE,,,,103.336,130.30221292,,58.3753929138184,103.336,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,103.336,198-55-0,198-55-0,HALE,,103.336,130.30221292,,58.3753929138184,103.336
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,5.588,,193-39-5,,HALE,,,,5.588,7.0462255731,,3.15670895576477,5.588,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,5.588,193-39-5,193-39-5,HALE,,5.588,7.0462255731,,3.15670895576477,5.588
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,8.356,,53-70-3,,HALE,,,,8.356,10.536553488,,4.72037601470947,8.356,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,8.356,53-70-3,53-70-3,HALE,,8.356,10.536553488,,4.72037601470947,8.356
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,11.275,,191-24-2,,HALE,,,,11.275,14.217285851,,6.36934423446655,11.275,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,11.275,191-24-2,191-24-2,HALE,,11.275,14.217285851,,6.36934423446655,11.275
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,4.408,,91-20-3,,HALE,,,,4.408,5.6687496366,,2.47724366188049,4.408,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,4.408,91-20-3,91-20-3,HALE,,4.408,5.6687496366,,2.47724366188049,4.408
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,4.772,,91-57-6,,HALE,,,,4.772,6.1368587263,,2.68180727958679,4.772,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,4.772,91-57-6,91-57-6,HALE,,4.772,6.1368587263,,2.68180727958679,4.772
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,2.332,,90-12-0,,HALE,,,,2.332,2.9989846081,,1.31055629253387,2.332,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,2.332,90-12-0,90-12-0,HALE,,2.332,2.9989846081,,1.31055629253387,2.332
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,2.121,,92-52-4,,HALE,,,,2.121,2.7276356577,,1.19197678565979,2.121,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,2.121,92-52-4,92-52-4,HALE,,2.121,2.7276356577,,1.19197678565979,2.121
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,6.774,,,,HALE,,,,6.774,8.7114587201,,3.80690741539001,6.774,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,6.774,581-42-0,,HALE,,6.774,8.7114587201,,3.80690741539001,6.774
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,2.041,,208-96-8,,HALE,,,,2.041,2.6247545391,,1.14701771736145,2.041,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,2.041,208-96-8,208-96-8,HALE,,2.041,2.6247545391,,1.14701771736145,2.041
