FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_DIGESTION_DATE,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.583,,,,HALE,,,,,0.92347340047,,0.168072164058685,0.583,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.583,HALE,1999-01-24T00:00:00Z,,,0.92347340047,,0.168072164058685,0.583
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.679,,,,HALE,,,,,1.0755376311,,0.195747852325439,0.679,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.679,HALE,1999-01-24T00:00:00Z,,,1.0755376311,,0.195747852325439,0.679
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,1.814,,,,HALE,,,,,2.8733803575,,0.522955238819122,1.814,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,1.814,HALE,1999-01-24T00:00:00Z,,,2.8733803575,,0.522955238819122,1.814
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,1.594,,,,HALE,,,,,2.5248998291,,0.459531754255295,1.594,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,1.594,HALE,1999-01-24T00:00:00Z,,,2.5248998291,,0.459531754255295,1.594
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,2.431,,,,HALE,,,,,3.8507098397,,0.700829207897186,2.431,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,2.431,HALE,1999-01-24T00:00:00Z,,,3.8507098397,,0.700829207897186,2.431
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,5.427,,,,HALE,,,,,8.5963810366,,1.56454133987427,5.427,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,5.427,HALE,1999-01-24T00:00:00Z,,,8.5963810366,,1.56454133987427,5.427
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,6.103,,,,HALE,,,,,9.6671666605,,1.75942432880402,6.103,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,6.103,HALE,1999-01-24T00:00:00Z,,,9.6671666605,,1.75942432880402,6.103
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,3.854,,,,HALE,,,,,6.104745258,,1.11106359958649,3.854,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,3.854,HALE,1999-01-24T00:00:00Z,,,6.104745258,,1.11106359958649,3.854
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,8.366,,,,HALE,,,,,13.251764097,,2.41182112693787,8.366,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,8.366,HALE,1999-01-24T00:00:00Z,,,13.251764097,,2.41182112693787,8.366
V98C001,1998-07-27T00:00:00Z,RAC000.00,,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,,,,,BCC,226,,,,,,T,,R,1,,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,,,,,,,,,,,,,,,,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.226,,,,HALE,,,,,0.35798454289,,0.0651531890034676,0.226,,,1998-07-27T00:00:00Z,RAC000.00,1998-07-28T00:00:00Z,1998-07-29T00:00:00Z,BCC,226,T,R,1,V98C001,1998-07-29T00:00:00Z,1998-08-03T00:00:00Z,15,1998-09-25T00:00:00Z,0.817869415283203,0.0229319000244141,1999-01-24T00:00:00Z,1,0.226,HALE,1999-01-24T00:00:00Z,,,0.35798454289,,0.0651531890034676,0.226
